Date,Centre_Name,Commodity_Name,Price
2007-11-15,Ludhiana,Tomato,8.0
2007-11-15,Lucknow,Tomato,8.01
2007-11-15,Ahmedabad,Tomato,8.02
2007-11-15,Mumbai,Tomato,8.03
2007-11-15,Jaipur,Tomato,8.04
2007-11-15,Shillong,Tomato,8.05
2007-11-16,Shimla,Tomato,8.05
2007-11-16,Ludhiana,Tomato,8.06
2007-11-16,Lucknow,Tomato,8.07
2007-11-16,Ahmedabad,Tomato,8.08
2007-11-16,Mumbai,Tomato,8.09
2007-11-16,Jaipur,Tomato,8.1
2007-11-16,Shillong,Tomato,8.11
2007-11-19,Shimla,Tomato,8.12
2007-11-19,Ludhiana,Tomato,8.13
2007-11-19,Lucknow,Tomato,8.14
2007-11-19,Ahmedabad,Tomato,8.14
2007-11-19,Mumbai,Tomato,8.15
2007-11-19,Jaipur,Tomato,8.16
2007-11-19,Shillong,Tomato,8.17
2007-11-20,Shimla,Tomato,8.18
2007-11-20,Ludhiana,Tomato,8.19
2007-11-20,Lucknow,Tomato,8.2
2007-11-20,Ahmedabad,Tomato,8.21
2007-11-20,Mumbai,Tomato,8.22
2007-11-20,Jaipur,Tomato,8.23
2007-11-20,Shillong,Tomato,8.23
2007-11-21,Shimla,Tomato,8.24
2007-11-21,Ludhiana,Tomato,8.25
2007-11-21,Lucknow,Tomato,8.26
2007-11-21,Ahmedabad,Tomato,8.27
2007-11-21,Mumbai,Tomato,8.28
2007-11-21,Jaipur,Tomato,8.29
2007-11-21,Shillong,Tomato,8.3
2007-11-22,Shimla,Tomato,8.31
2007-11-22,Ludhiana,Tomato,8.32
2007-11-22,Lucknow,Tomato,8.32
2007-11-22,Ahmedabad,Tomato,8.33
2007-11-22,Mumbai,Tomato,8.34
2007-11-22,Jaipur,Tomato,8.35
2007-11-22,Shillong,Tomato,8.36
2007-11-23,Shimla,Tomato,8.37
2007-11-23,Ludhiana,Tomato,8.38
2007-11-23,Lucknow,Tomato,8.39
2007-11-23,Ahmedabad,Tomato,8.4
2007-11-23,Mumbai,Tomato,8.41
2007-11-23,Jaipur,Tomato,8.41
2007-11-23,Shillong,Tomato,8.42
2007-11-26,Shimla,Tomato,8.43
2007-11-26,Ludhiana,Tomato,8.44
2007-11-26,Lucknow,Tomato,8.45
2007-11-26,Ahmedabad,Tomato,8.46
2007-11-26,Mumbai,Tomato,8.47
2007-11-26,Jaipur,Tomato,8.48
2007-11-26,Shillong,Tomato,8.49
2007-11-27,Shimla,Tomato,8.5
2007-11-27,Ludhiana,Tomato,8.5
2007-11-27,Lucknow,Tomato,8.51
2007-11-27,Ahmedabad,Tomato,8.52
2007-11-27,Mumbai,Tomato,8.53
2007-11-27,Jaipur,Tomato,8.54
2007-11-27,Shillong,Tomato,8.55
2007-11-28,Shimla,Tomato,8.56
2007-11-28,Ludhiana,Tomato,8.57
2007-11-28,Lucknow,Tomato,8.58
2007-11-28,Ahmedabad,Tomato,8.59
2007-11-28,Mumbai,Tomato,8.59
2007-11-28,Jaipur,Tomato,8.6
2007-11-28,Shillong,Tomato,8.61
2007-11-29,Shimla,Tomato,8.62
2007-11-29,Ludhiana,Tomato,8.63
2007-11-29,Lucknow,Tomato,8.64
2007-11-29,Ahmedabad,Tomato,8.65
2007-11-29,Mumbai,Tomato,8.66
2007-11-29,Jaipur,Tomato,8.67
2007-11-29,Shillong,Tomato,8.68
2007-11-30,Shimla,Tomato,8.68
2007-11-30,Ludhiana,Tomato,8.69
2007-11-30,Lucknow,Tomato,8.7
2007-11-30,Ahmedabad,Tomato,8.71
2007-11-30,Mumbai,Tomato,8.72
2007-11-30,Jaipur,Tomato,8.73
2007-11-30,Shillong,Tomato,8.74
2007-03-12,Shimla,Tomato,8.75
2007-03-12,Ludhiana,Tomato,8.76
2007-03-12,Lucknow,Tomato,8.77
2007-03-12,Ahmedabad,Tomato,8.77
2007-03-12,Mumbai,Tomato,8.78
2007-03-12,Jaipur,Tomato,8.79
2007-03-12,Shillong,Tomato,8.8
2007-04-12,Shimla,Tomato,8.81
2007-04-12,Ludhiana,Tomato,8.82
2007-04-12,Lucknow,Tomato,8.83
2007-04-12,Ahmedabad,Tomato,8.84
2007-04-12,Mumbai,Tomato,8.85
2007-04-12,Jaipur,Tomato,8.86
2007-04-12,Shillong,Tomato,8.86
2007-05-12,Shimla,Tomato,8.87
2007-05-12,Ludhiana,Tomato,8.88
2007-05-12,Lucknow,Tomato,8.89
2007-05-12,Ahmedabad,Tomato,8.9
2007-05-12,Mumbai,Tomato,8.91
2007-05-12,Jaipur,Tomato,8.92
2007-05-12,Shillong,Tomato,8.93
2007-06-12,Shimla,Tomato,8.94
2007-06-12,Ludhiana,Tomato,8.95
2007-06-12,Lucknow,Tomato,8.95
2007-06-12,Ahmedabad,Tomato,8.96
2007-06-12,Mumbai,Tomato,8.97
2007-06-12,Jaipur,Tomato,8.98
